WR6030       各口徑在所堪用表、領表及待修表(待報銷)查詢 -麻豆服務所       列表日期：1150724
   類別：全選 
表號,廠牌,型式,購置日期,購置原價,有效期限,類別,領表日期,領表人,備註,財產取得編號
107-B-796395,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796396,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796397,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796398,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796399,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796400,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796401,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796402,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796403,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796404,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796405,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796406,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796407,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796408,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796409,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796410,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796411,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796412,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796413,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796414,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796415,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796416,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796417,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796418,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796419,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796420,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796421,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796422,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796423,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796424,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796425,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796426,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796427,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796428,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796429,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796430,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796431,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796432,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796433,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796434,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796435,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796436,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796437,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796438,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796439,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796440,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796441,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796442,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796443,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796444,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796445,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796446,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796447,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796448,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796449,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796450,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796451,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796452,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796453,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796454,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796455,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796456,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796457,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796459,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796460,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796461,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796463,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796464,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796465,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796466,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-829563,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829564,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829565,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829566,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829567,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829568,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829569,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829570,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829571,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829572,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829573,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829574,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829575,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829576,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829577,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829578,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829579,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829580,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829581,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829582,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829583,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829584,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829585,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829586,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829587,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829588,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829589,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829590,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
